crd_number,sec_number,name,other_names,registration_status,registration_begin_date,firm_size,firm_type,formed_state,formed_date,phone,finra_approved_registration_count,number_of_branches,branch_locations_count,disclosures_count,street,city,state,zip_code,country,latitude,longitude,matched_from_name,match_confidence,phase,scraped_at
154603,68652,"CHURCHILL STATESIDE SECURITIES, LLC","AHTC SECURITIES, LLC|STATESIDE SECURITIES, LLC|CHURCHILL STATESIDE SECURITIES, LLC",Approved,01/28/2011,Small,Limited Liability Company,Georgia,10/13/2009,404-250-4190,1,5,1,0,"203 N LASALLE ST, SUITE 2100",CHICAGO,IL,60601,USA,,,"CHURCHILL STATESIDE SECURITIES, LLC",1.0,3,2026-04-02T01:55:56.717151
630,18333,CIBC WORLD MARKETS CORP.,"CIBC OPPENHEIMER|OPPENHEIMER & CO., INC.|CIBC WORLD MARKETS CORP.|CIBC WORLD MARKETS|CIBC OPPENHEIMER CORP.",Approved,03/14/1950,Medium,Corporation,Delaware,07/31/1969,212-856-4000,1,6,15,162,300 MADISON AVENUE,NEW YORK,NY,10017,UNITED STATES,,,CIBC WORLD MARKETS CORP.,1.0,3,2026-04-02T01:46:06.091893
316232,70822,"CIBEST CAPITAL SECURITIES, LLC","BANCOLOMBIA CAPITAL LLC|CIBEST CAPITAL SECURITIES, LLC|CIBEST CAPITAL",Approved,06/14/2022,Small,Limited Liability Company,Florida,09/09/2021,786-551-9122,1,4,1,0,1221 BRICKELL AVENUE,MIAMI,FL,33131,UNITED STATES,,,"CIBEST CAPITAL SECURITIES, LLC",1.0,3,2026-04-02T01:59:47.430699
47069,51649,"CIC MARKET SOLUTIONS, INC.","CIC EUROSECURITIES, INC.|GSN NORTH AMERICA, INC.|ESN NORTH AMERICA, INC.|CM-CIC MARKET SOLUTIONS INC.|CIC MARKET SOLUTIONS, INC.",Approved,09/14/1999,Small,Corporation,Delaware,10/27/1998,212-659-6292,1,2,1,0,520 MADISON AVE,NEW YORK,NY,10022,UNITED STATES,,,"CIC MARKET SOLUTIONS, INC.",1.0,3,2026-04-02T01:51:24.790103
314109,70699,CICADA SECURITIES,"CICADA SECURITIES|CICADA SECURITIES, LLC",Approved,02/08/2022,Small,Limited Liability Company,Delaware,03/17/2021,917-809-4456,1,2,1,0,289 GREENWICH AVE,GREENWICH,CT,06830,UNITED STATES,,,CICADA SECURITIES,1.0,3,2026-04-02T01:59:36.936308
143221,67544,"CICC US SECURITIES, INC.","CICC US SECURITIES, INC.",Approved,08/21/2007,Small,Corporation,Delaware,08/25/2005,(646) 794-8761,1,2,1,1,280 PARK AVENUE,NEW YORK,NY,10017,USA,,,"CICC US SECURITIES, INC.",1.0,3,2026-04-02T01:54:33.298819
129864,66266,CIG SECURITIES,"CIG CORP|CIG SECURITIES, INC.|CIG SECURITIES",Approved,05/27/2004,Small,Corporation,Michigan,08/29/2003,248-827-1010,1,2,1,0,ONE TOWNE SQUARE,SOUTHFIELD,MI,48076,USA,,,CIG SECURITIES,1.0,3,2026-04-02T01:53:19.753952
153670,68563,"CIGNA BENEFITS FINANCING, INC.","CIGNA BENEFITS FINANCING, INC.",Approved,01/14/2011,Small,Corporation,Delaware,02/12/2010,860 226-9018,1,2,1,0,900 COTTAGE GROVE RD.,BLOOMFIELD,CT,06002,,,,"CIGNA BENEFITS FINANCING, INC.",1.0,3,2026-04-02T01:55:48.939903
120852,65351,"CIM SECURITIES, LLC","CIM SECURITIES, LLC",Approved,08/05/2002,Small,Limited Liability Company,Colorado,03/21/2002,732-966-9244,1,2,1,4,"TRACT B; ASLS 77-149, PLAT 79-3",PALMER,AK,99645,UNITED STATES,,,"CIM SECURITIES, LLC",1.0,3,2026-04-02T01:52:36.306817
132263,66579,"CIMAS, LLC","CIMAS LLC|CURRAN ADVISORY SERVICES|CIMAS, LLC",Approved,11/02/2004,Small,Limited Liability Company,New York,12/17/2003,518-391-4200,1,3,1,0,"30 SOUTH PEARL STREET, 9TH FLOOR",ALBANY,NY,12207,,,,"CIMAS, LLC",1.0,3,2026-04-02T01:53:34.125935
118392,53652,"CINCAP INVESTMENT GROUP, LLC","CINCAP INVESTMENT GROUP, INC|JK SECURITIES, INC.|CINCAP INVESTMENT GROUP, LLC",Approved,05/01/2002,Small,Limited Liability Company,Ohio,09/01/2021,5137254841,1,2,1,0,455 DELTA AVE.,CINCINNATI,OH,45226,USA,,,"CINCAP INVESTMENT GROUP, LLC",1.0,3,2026-04-02T01:52:25.391010
15487,32283,"CION SECURITIES, LLC","CION INVESTMENTS|OSPREY SECURITIES CORP.|ICON SECURITIES, LLC|ICON SECURITIES CORP.|ICON SECURITIES CORP|ICON INVESTMENTS|ICG SECURITIES CORP.|CION SECURITIES, LLC",Approved,05/13/1985,Small,Limited Liability Company,Delaware,01/02/2013,212-418-4700,1,3,1,3,100 PARK AVENUE,NEW YORK,NY,10017,UNITED STATES,,,"CION SECURITIES, LLC",1.0,3,2026-04-02T01:47:53.326538
172693,69521,CITADEL CLEARING LLC,CITADEL CLEARING LLC,Approved,04/07/2015,Small,Limited Liability Company,Delaware,07/18/2014,305-929-6851,1,2,1,0,830 BRICKELL PLAZA,MIAMI,FL,33131,UNITED STATES,,,CITADEL CLEARING LLC,1.0,3,2026-04-02T01:57:18.045053
281102,69663,CITADEL SECURITIES INSTITUTIONAL LLC,CITADEL SECURITIES INSTITUTIONAL LLC,Approved,01/06/2016,Medium,Limited Liability Company,Delaware,06/08/2015,305-929-6851,1,6,1,0,830 BRICKELL PLAZA,MIAMI,FL,33131,USA,,,CITADEL SECURITIES INSTITUTIONAL LLC,1.0,3,2026-04-02T01:57:33.298176
116797,53574,CITADEL SECURITIES LLC,CITADEL DERIVATIVES GROUP LLC|CITADEL SECURITIES LLC,Approved,02/25/2005,Large,Limited Liability Company,Delaware,07/30/2001,305-929-6851,1,7,27,76,830 BRICKELL PLAZA,MIAMI,FL,33131,UNITED STATES,,,CITADEL SECURITIES LLC,1.0,3,2026-04-02T01:52:21.747344
153974,68601,CITCO SECURITIES INC.,"CITCO SECURITIES INC.|CITCO SECURITIES, INC.",Approved,10/03/2011,Small,Corporation,,04/28/2010,647-260-6555,1,1,1,0,20 TORONTO STREET,"TORONTO, ONTARIO",,M5C 2B8,CANADA,,,CITCO SECURITIES INC.,1.0,3,2026-04-02T01:55:51.876785
153777,69789,"CITI PRIVATE ALTERNATIVES, LLC","CITI GLOBAL ADVISORY, LLC|CITI PRIVATE ALTERNATIVES, LLC|CITI PRIVATE ADVISORY,LLC|CITI PRIVATE ADVISORY, LLC|CITI GLOBAL ALTERNATIVES, LLC",Approved,01/20/2017,Large,Limited Liability Company,Delaware,04/01/2010,212-559-1000,1,42,1,0,388 GREENWICH STREET,NEW YORK,NY,10013,,,,"CITI PRIVATE ALTERNATIVES, LLC",1.0,3,2026-04-02T01:55:49.210239
158266,68887,"CITIC SECURITIES INTERNATIONAL USA, LLC","CITIC SECURITIES INTERNATIONAL USA, LLC",Approved,03/26/2012,Small,Limited Liability Company,Delaware,05/18/2011,212-549-4791,1,2,1,0,1155 AVENUE OF THE AMERICAS,NEW YORK,NY,10036,,,,"CITIC SECURITIES INTERNATIONAL USA, LLC",1.0,3,2026-04-02T01:56:18.567370
15387,32117,"CITICORP SECURITIES SERVICES, INC.","CITICORP SECURITIES SERVICES, INC.|NEWBRIDGE SECURITIES INC.",Approved,01/11/1985,Small,Corporation,Delaware,04/16/1984,(212) 723-7600,1,2,2,2,390 - 388 GREENWICH STREET,NEW YORK,NY,10013,UNITED STATES,,,"CITICORP SECURITIES SERVICES, INC.",1.0,3,2026-04-02T01:47:52.128500
7059,8177,CITIGROUP GLOBAL MARKETS INC.,"CAPITAL MANAGEMENT DIVISION|TRAK FOR MUTUAL FUND AT NET ASSET VALUE|TRAK FOR CONSULTING GROUP CAPITAL MARKETS FUNDS|SSB COLLECTIVE FUNDS ASSET ALLOCATION SERVICE|SMITH BARNEY, HARRIS UPHAM & CO., INCORPORATED|SMITH BARNEY SHEARSON INC.|SMITH BARNEY INC.|SMITH BARNEY ASSET MANAGEMENT|SMITH BARNEY|SB ADVISOR|SALOMON SMITH BARNEY INC.|SALOMON SMITH BARNEY 401(K) ADVISOR PROGRAM|PORTFOLIO MANAGEMENT GROUP|PEACHTREE ASSET MANAGEMENT|OFFSHORE TRAK|MYFI FINANCIAL WELLNESS PROGRAM|LINK ADVISORS FOR UPS EMPLOYEES AND RETIREES|INVESTMENT MANAGEMENT SERVICES|INVESTMENT ADVISORY SERVICES|INVESTMENT ADVISORS|INSTITUTIONAL SERVICES|GUIDED PORTFOLIO MANAGEMENT PROGRAM|FIRST MADISON ADVISORS|FIDUCIARY SERVICES - UNAFFILIATED MANAGER PROGRAM|FIDUCIARY SERVICES - AFFILIATED MANAGER PROGRAM|DIVERSIFIED STRATEGIC PORTFOLIOS|DAVIS SKAGGS INVESTMENT MANAGEMENT|CONSULTING AND EVALUATION SERVICES|CITIGROUP GLOBAL MARKETS INC.|CITIGROUP ASSET MANAGEMENT|CITI PRIVATE BANK|CITI PERSONAL WEALTH MANAGEMENT|CITI PERSONAL INVESTMENTS  INTERNATIONAL|CITI INVESTMENT MANAGEMENT|CITI INSTITUTIONAL CONSULTING|CITI GLOBAL WEALTH AT WORK",Approved,10/16/1936,Large,Corporation,New York,10/15/1998,212-816-6000,1,2906,27,1233,388 GREENWICH STREET,NEW YORK,NY,10013,UNITED STATES,,,CITIGROUP GLOBAL MARKETS INC.,1.0,3,2026-04-02T01:46:55.339981
22208,39613,"CITIZENS JMP SECURITIES, LLC","CITIZENS|TRINITY CAPITAL|MITCHUM, JONES & TEMPLETON, INC.|MATRIX CAPITAL MARKETS GROUP|JOLSON MERCHANT PARTNERS|JMP SECURITIES LLC|JMP SECURITIES|DH CAPITAL|CITIZENS M&A ADVISORY|CITIZENS JMP SECURITIES, LLC|CITIZENS JMP|CITIZENS CAPITAL MARKETS & ADVISORY|CITIZENS CAPITAL MARKETS",Approved,05/18/1988,Medium,Limited Liability Company,Delaware,01/01/2002,415-835-8900,1,23,2,6,101 CALIFORNIA STREET,SAN FRANCISCO,CA,94111,UNITED STATES,,,"CITIZENS JMP SECURITIES, LLC",1.0,3,2026-04-02T01:48:39.541622
39550,48744,"CITIZENS SECURITIES, INC.","CCO INVESTMENT SERVICES CORP.|CITIZENS WEALTH MANAGEMENT|CITIZENS SECURITIES, INC.|CITIZENS PRIVATE WEALTH|CITIZENS PRIVATE CLIENT|CITIZENS INVESTMENT SERVICES CORP.|CITIZENS INVESTMENT SERVICES|CITIZENS INVESTMENT SECURITIES, INC.|CITIZENS FINANCIAL SERVICES INC.|CHARTER ONE INVESTMENT SERVICES",Approved,05/08/1996,Large,Corporation,Rhode Island,09/21/1995,781-364-1641,1,1037,1,22,ONE CITIZENS BANK WAY,JOHNSTON,RI,02919,UNITED STATES,,,"CITIZENS SECURITIES, INC.",1.0,3,2026-04-02T01:50:22.779154
143528,67580,"CITY CAPITAL ADVISORS, LLC","CITY CAPITAL ADVISORS, LLC",Approved,07/30/2007,Small,Limited Liability Company,Delaware,05/05/2005,312 494-9800,1,2,1,0,"444 NORTH MICHIGAN AVENUE, SUITE 3200",CHICAGO,IL,60611,,,,"CITY CAPITAL ADVISORS, LLC",1.0,3,2026-04-02T01:54:36.307399
44823,50853,"CJS SECURITIES, INC.","CJS SECURITIES, INC.",Approved,07/08/1998,Small,Corporation,New York,11/06/1997,914-287-7600,1,2,1,1,50 MAIN STREET,WHITE PLAINS,NY,10606,UNITED STATES,,,"CJS SECURITIES, INC.",1.0,3,2026-04-02T01:51:06.490516
7395,21590,"CLARENDON INSURANCE AGENCY, INC.","CLARENDON INSURANCE AGENCY, INC.|GEORGE E. MADEN|EMAC TRADING LLC",Approved,05/10/1977,Small,Corporation,Massachusetts,03/04/1968,781-790-8600,1,3,1,0,230 3RD AVE,WALTHAM,MA,02451,UNITED STATES,,,"CLARENDON INSURANCE AGENCY, INC.",1.0,3,2026-04-02T01:47:01.057688
166384,69204,"CLARION PARTNERS SECURITIES, LLC","CLARION PARTNERS SECURITIES, LLC",Approved,11/20/2013,Small,Limited Liability Company,Delaware,10/15/2012,212-883-2500,1,4,1,0,ONE MADISON AVENUE,NEW YORK,NY,10010,USA,,,"CLARION PARTNERS SECURITIES, LLC",1.0,3,2026-04-02T01:56:45.284072
30882,45221,"CLARKSONS SECURITIES, INC","CLARKSONS PLATOU SECURITIES, INC.|RS PLATOU MARKETS, INC.|RS PLATOU MARKETS INC.|R & R PLANNING GROUP LTD|DJF DISCOUNT BROKERS, INC.|DJF DISCOUNT BROKERS, INC|CLARKSONS SECURITIES, INC.|CLARKSONS SECURITIES, INC",Approved,12/22/1992,Small,Corporation,New York,09/15/1992,212-317-7092,1,3,2,0,104 WEST 40TH STREET - 12TH FLOOR,NEW YORK,NY,10018,UNITED STATES,,,"CLARKSONS SECURITIES, INC",1.0,3,2026-04-02T01:49:26.061842
148772,68068,"CLASS VI SECURITIES, LLC","CAPITAL VALUE M&A, LLC|CVA SECURITIES, LLC|CLASS VI SECURITIES, LLC|CAPITALVALUE ADVISORS, LLC",Approved,10/19/2009,Small,Limited Liability Company,Colorado,01/24/2007,303 243-5601,1,2,1,0,255 FILLMORE STREET,DENVER,CO,80206,USA,,,"CLASS VI SECURITIES, LLC",1.0,3,2026-04-02T01:55:14.734922
140889,67348,"CLEANBRIDGE SECURITIES, LLC","CLEANBRIDGE SECURITIES, LLC|PAF SECURITIES, LLC",Approved,11/24/2006,Small,Limited Liability Company,Delaware,03/29/2005,305-577-9799,1,2,1,0,2601 S. BAYSHORE DRIVE,MIAMI,FL,33133,USA,,,"CLEANBRIDGE SECURITIES, LLC",1.0,3,2026-04-02T01:54:21.606089
323456,71077,CLEANSOURCE SECURITIES,CLEANSOURCE SECURITIES|CLEANSOURCE SECURITIES LLC,Approved,10/20/2023,Small,Limited Liability Company,North Carolina,08/04/2022,704-271-9889,1,2,1,0,1942 EAST 7TH STREET,CHARLOTTE,NC,28204,UNITED STATES,,,CLEANSOURCE SECURITIES,1.0,3,2026-04-02T02:00:18.059062
288933,69972,CLEAR STREET LLC,"CENTERPOINT SECURITIES|GLOBECS, LLC|CLEAR STREET, LLC|CLEAR STREET LLC|CLEAR STREET FUTURES",Approved,04/18/2018,Medium,Limited Liability Company,Delaware,12/20/2016,646-738-4066,1,9,27,3,"4 WORLD TRADE CENTER, 150 GREENWICH STREET",NEW YORK,NY,10007,USA,,,CLEAR STREET LLC,1.0,3,2026-04-02T01:58:06.329210
169774,69393,"CLEARCREEK SECURITIES, LLC","CLEARCREEK PARTNERS|HARRISON CO. SECURITIES|CLEARCREEK SECURITIES, LLC",Approved,09/12/2014,Small,Limited Liability Company,Colorado,09/11/2013,303 383-1100,1,3,1,0,"1165 DELAWARE STREET, SUITE 130",DENVER,CO,80204,,,,"CLEARCREEK SECURITIES, LLC",1.0,3,2026-04-02T01:57:04.480562
269999,69646,"CLEARINGBID MARKETS, INC.","CLEARINGBID MARKETS, INC.",Approved,05/16/2016,Small,Corporation,Delaware,03/20/2015,212-752-1700,1,1,1,0,411 THEODORE FREMD AVE,RYE,NY,10850,UNITED STATES,,,"CLEARINGBID MARKETS, INC.",1.0,3,2026-04-02T01:57:31.206289
308066,70504,CLEARLIST LLC,CLEARLIST LLC,Approved,12/23/2020,Small,Limited Liability Company,Delaware,03/04/2020,212-207-1350,1,2,1,0,625 6TH AVENUE,NEW YORK,NY,10011,UNITED STATES,,,CLEARLIST LLC,1.0,3,2026-04-02T01:59:10.226743
309455,70540,CLEARLIST SECURITIES LLC,CLEARLIST SECURITIES LLC,Approved,02/04/2021,Small,Limited Liability Company,Delaware,03/24/2020,212-207-1380,1,2,1,0,625 6TH AVENUE,NEW YORK,NY,10011,UNITED STATES,,,CLEARLIST SECURITIES LLC,1.0,3,2026-04-02T01:59:14.119224
168490,69313,"CLEARPOOL EXECUTION SERVICES, LLC","CLEARPOOL EXECUTION SERVICES, LLC",Approved,04/08/2014,Small,Limited Liability Company,New York,05/07/2013,212-531-8500,1,4,15,19,"17 STATE STREET, 38TH FLOOR",NEW YORK,NY,10004,,,,"CLEARPOOL EXECUTION SERVICES, LLC",1.0,3,2026-04-02T01:56:57.285161
142873,67501,"CLEARVIEW TRADING ADVISORS, INC.","CLEARVIEW TRADING ADVISORS, INC.",Approved,08/31/2007,Small,Corporation,New York,10/17/2006,201-803-3125,1,2,1,1,10 GLENWOOD ROAD,TENAFLY,NJ,07670,UNITED STATES,,,"CLEARVIEW TRADING ADVISORS, INC.",1.0,3,2026-04-02T01:54:30.239774
142230,67482,CLEVELAND RESEARCH COMPANY LLC,CLEVELAND RESEARCH COMPANY LLC,Approved,03/29/2007,Small,Limited Liability Company,Ohio,03/24/2006,216-649-7250,1,3,1,0,1375 E 9TH STREET,CLEVELAND,OH,44114,USA,,,CLEVELAND RESEARCH COMPANY LLC,1.0,3,2026-04-02T01:54:26.072389
168376,69304,CLICK CAPITAL MARKETS,"ASTON DIEL HOLDINGS, LLC|CLICKIPO|CLICK IPO, LLC|CLICK IPO SECURITIES, LLC|CLICK CAPITAL MARKETS|ASTON DIEL SECURITIES, LLC",Approved,10/30/2014,Small,Limited Liability Company,Arizona,06/28/2013,6026334513,1,2,1,0,9835 E BELL ROAD,SCOTTSDALE,AZ,85260,USA,,,CLICK CAPITAL MARKETS,1.0,3,2026-04-02T01:56:55.789795
38357,48239,"CLIFTONLARSONALLEN WEALTH ADVISORS, LLC","CLA MERIDIAN CAPITAL|LAWCO FINANCIAL L.L.C.|LARSONALLEN PRIVATE FINANCIAL ADVISORS|LARSONALLEN FINANCIAL, LLC|LARSONALLEN FINANCIAL|CLIFTONLARSONALLEN WEALTH ADVISORS, LLC",Approved,10/27/1995,Small,Limited Liability Company,Minnesota,02/16/1995,612-376-4777,1,50,1,3,220 S. SIXTH STREET,MINNEAPOLIS,MN,55402-4505,UNITED STATES,,,"CLIFTONLARSONALLEN WEALTH ADVISORS, LLC",1.0,3,2026-04-02T01:50:10.165211
165533,69166,"CLSA AMERICAS, LLC","CLSA AMERICAS, LLC",Approved,02/15/2013,Small,Limited Liability Company,Delaware,08/15/2012,2125495097,1,4,7,0,"1155 AVENUE OF THE AMERICAS, 17TH FLOOR",NEW YORK,NY,10036,,,,"CLSA AMERICAS, LLC",1.0,3,2026-04-02T01:56:41.374363
306063,70432,"CMD GLOBAL PARTNERS, LLC","CMD GLOBAL ADVISORS, LLC|CMD GLOBAL PARTNERS, LLC",Approved,09/30/2020,Small,Limited Liability Company,Delaware,09/20/2019,312-550-2666,1,4,1,0,123 N WACKER DR,CHICAGO,IL,60606,UNITED STATES,,,"CMD GLOBAL PARTNERS, LLC",1.0,3,2026-04-02T01:59:01.830442
289090,69982,CMG SECURITIES LLC,CMG SECURITIES LLC,Approved,03/22/2018,Small,Limited Liability Company,California,06/06/2017,(415) 278-7727,1,6,1,0,3160 CROW CANYON ROAD,SAN RAMON,CA,94583,USA,,,CMG SECURITIES LLC,1.0,3,2026-04-02T01:58:07.204298
10356,26901,CNL SECURITIES CORP.,CENTENNIAL INVESTMENT COMPANY|CNL SECURITIES CORP.|CNL INVESTMENT COMPANY|CNL,Approved,02/18/1982,Small,Corporation,Florida,11/13/1979,407-650-1000,1,2,1,1,450 SOUTH ORANGE AVENUE,ORLANDO,FL,32801,UNITED STATES,,,CNL SECURITIES CORP.,1.0,3,2026-04-02T01:47:20.846580
18466,36759,"CNR SECURITIES, LLC","CNR SECURITIES LLC|ROCHDALE INVESTMENT MANAGEMENT INC.|RIM SECURITIES LLC|CNR SECURITIES, LLC",Approved,10/20/1986,Medium,Limited Liability Company,Delaware,10/11/2001,212-702-3500,1,9,1,4,400 PARK AVENUE,NEW YORK,NY,10022,UNITED STATES,,,"CNR SECURITIES, LLC",1.0,3,2026-04-02T01:48:22.433141
128334,66123,"COADY DIEMAR PARTNERS, LLC","COADY DIEMAR PARTNERS, LLC|COADY, DIEMAR GROUP, LLC",Approved,01/13/2004,Small,Limited Liability Company,Delaware,06/10/2003,212-901-2603,1,2,1,1,270 LAFAYETTE,NEW YORK,NY,10012,USA,,,"COADY DIEMAR PARTNERS, LLC",1.0,3,2026-04-02T01:53:09.736533
136161,66979,"COBALT CAPITAL, INC.","COBALT CAPITAL, INC.",Approved,12/06/2005,Small,Corporation,Florida,03/18/2005,407-649-3150,1,2,1,1,801 INTERNATIONAL PARKWAY,LAKE MARY,FL,32746,,,,"COBALT CAPITAL, INC.",1.0,3,2026-04-02T01:53:55.469848
132078,66548,"COBRA TRADING, INC.","BIGTRADES.COM|VENOM TRADING|COBRA TRADING, INC.",Approved,12/17/2004,Small,Corporation,Wisconsin,05/14/2004,(972) 491-7999,1,2,1,6,3008 E HEBRON PKWY,CARROLLTON,TX,75010,USA,,,"COBRA TRADING, INC.",1.0,3,2026-04-02T01:53:31.460314
36187,47077,"CODA MARKETS, INC.","CODA MARKETS, INC.|PDQ ATS, INC.|PB TRADE LTD|IMPERIAL INVESTMENTS LTD.|IMPERIAL INVESTMENTS LLC",Approved,05/10/1994,Small,Corporation,Connecticut,10/22/1993,8722050187,1,2,9,15,1000 SKOKIE BLVD.,WILMETTE,IL,60091,UNITED STATES,,,"CODA MARKETS, INC.",1.0,3,2026-04-02T01:49:51.854557
330920,71253,"COGENT ASSOCIATES, LLC","COGENT ASSOCIATES, LLC",Approved,08/20/2025,Small,Limited Liability Company,Delaware,06/25/2018,617-767-9067,1,1,1,0,73 CENTRAL STREET,WOODSTOCK,VT,05091,UNITED STATES,,,"COGENT ASSOCIATES, LLC",1.0,3,2026-04-02T02:00:51.362800
131272,66442,"COGNITIVE CAPITAL, LLC","COGNITIVE CAPITAL, LLC",Approved,06/10/2024,Small,Limited Liability Company,Illinois,03/22/2004,312-431-0400,1,2,1,1,141 W JACKSON,CHICAGO,IL,60604,USA,,,"COGNITIVE CAPITAL, LLC",1.0,3,2026-04-02T01:53:26.896387
149758,68186,"COHEN & COMPANY SECURITIES, LLC","C & CO/PRINCERIDGE GROUP LLC|VINSONFORBES & CO. LLC|THE PRINCERIDGE GROUP LLC|J.V.B. FINANCIAL GROUP, LLC|COHEN & COMPANY SECURITIES, LLC|C & CO/PRINCERIDGE LLC",Approved,06/18/2009,Small,Limited Liability Company,Delaware,12/05/2008,646-792-5600,1,8,4,6,3 COLUMBUS CIRCLE,NEW YORK,NY,10019,USA,,,"COHEN & COMPANY SECURITIES, LLC",1.0,3,2026-04-02T01:55:21.651315
10722,28032,COINBASE CAPITAL MARKETS CORP,"ADVANCED FINANCIAL PARTNERS|TAX SHELTERS SECURITIES CORPORATION|STEWART FINANCIAL SERVICES|RDD WEALTH MANAGEMENT|OPEN NETWORK FINANCIAL CONSULTING|KEYSTONE DIVERSIFIED SECURITIES|KEYSTONE CAPITAL CORPORATION|COINBASE CAPITAL MARKETS CORP|COINBASE CAPITAL MARKETS|AUOUR ADVISORY, LLC",Approved,09/23/1982,Small,Corporation,California,06/18/1982,858-348-4405,1,2,1,0,ONE MADISON AVE,NEW YORK,NY,10010,UNITED STATES,,,COINBASE CAPITAL MARKETS CORP,1.0,3,2026-04-02T01:47:25.045213
170506,69422,COINSHARES CAPITAL LLC,COINSHARES CAPITAL LLC|GROUP CAPITAL LLC|GROUP CAPITAL,Approved,03/30/2015,Small,Limited Liability Company,Delaware,01/15/2014,646-308-1518,1,2,1,0,437 MADISON AVENUE,NEW YORK,NY,10022,USA,,,COINSHARES CAPITAL LLC,1.0,3,2026-04-02T01:57:08.084353
167337,69255,"COINZOOM SECURITIES, LLC","COINZOOM SECURITIES, LLC|SEED EQUITY VENTURES, LLC|CZ SECURITIES",Approved,02/14/2014,Small,Limited Liability Company,Utah,03/04/2013,844-438-7333,1,2,1,0,4640 S. HOLLADAY VILLAGE PLAZA,SALT LAKE CITY,UT,84117,,,,"COINZOOM SECURITIES, LLC",1.0,3,2026-04-02T01:56:50.992267
29163,44129,COKER & PALMER,"COKER & COMPANY, INC.|CPI RESEARCH|COKER, PALMER, PHILLIPS & MULLEN, INC.|COKER PALMER PHILLIPS & MULLEN|COKER & PALMER, INC.|COKER & PALMER, INC|COKER & PALMER INVESTMENT SECURITIES|COKER & PALMER",Approved,12/10/1991,Small,Corporation,Mississippi,07/08/1991,601-354-0860,1,5,1,7,1667 LELIA DRIVE,JACKSON,MS,39216,UNITED STATES,,,COKER & PALMER,1.0,3,2026-04-02T01:49:12.840107
122062,65464,COLCHESTER PARTNERS LLC,COLCHESTER PARTNERS LLC,Approved,01/08/2003,Small,Limited Liability Company,Massachusetts,02/26/2002,617-542-4100,1,3,1,0,53 STATE STREET,BOSTON,MA,02109,UNITED STATES,,,COLCHESTER PARTNERS LLC,1.0,3,2026-04-02T01:52:40.957007
46835,51549,"COLDSTREAM SECURITIES, INC.","COLDSTREAM SECURITIES, INC.",Approved,09/01/1999,Small,Corporation,Delaware,03/05/1995,425-283-1600,1,3,1,1,ONE 100TH AVENUE NE SUITE 102,BELLEVUE,WA,98004,UNITED STATES,,,"COLDSTREAM SECURITIES, INC.",1.0,3,2026-04-02T01:51:22.684859
315939,70774,COLLECTABLE SECURITIES,COLLECTABLE SECURITIES,Approved,03/09/2023,Small,Limited Liability Company,Delaware,07/09/2021,631.252.8577,1,1,1,0,484 BROOME STREET,NEW YORK,NY,10013,UNITED STATES,,,COLLECTABLE SECURITIES,1.0,3,2026-04-02T01:59:46.243247
7477,21937,COLLIERS SECURITIES LLC,COLLIERS SECURITIES LLC|SUMMIT INVESTMENT CORPORATION|NODAKBONDS|DOUGHERTY VALUE ADVISORS|DOUGHERTY SUMMIT SECURITIES LLC|DOUGHERTY & COMPANY LLC,Approved,09/30/1977,Small,Limited Liability Company,Delaware,08/19/1997,612-376-4000,1,17,2,35,90 SOUTH SEVENTH STREET,MINNEAPOLIS,MN,55402-4108,UNITED STATES,,,COLLIERS SECURITIES LLC,1.0,3,2026-04-02T01:47:02.856859
3013,17631,"COLONIAL SECURITIES, INC.","COLONIAL SECURITIES, INC.",Approved,11/18/1968,Small,Corporation,New Jersey,12/11/1972,212-587-3970,1,2,1,11,80 BOWERY,NEW YORK,NY,10013-4689,UNITED STATES,,,"COLONIAL SECURITIES, INC.",1.0,3,2026-04-02T01:46:31.331547
322763,70961,COLONNADE ISLAND LLC,COLONNADE ISLAND LLC,Approved,01/10/2023,Small,Limited Liability Company,Puerto Rico,04/18/2022,847-452-8315,1,2,1,0,7000 BAHIA BEACH BLVD.,RIO GRANDE,PR,00745-2900,UNITED STATES,,,COLONNADE ISLAND LLC,1.0,3,2026-04-02T02:00:13.257050
144771,67673,COLONNADE SECURITIES LLC,COLONNADE SECURITIES LLC,Approved,10/11/2007,Small,Limited Liability Company,Delaware,08/23/2002,312-425-8160,1,3,1,0,600 CLEVELAND STREET,CLEARWATER,FL,33755,USA,,,COLONNADE SECURITIES LLC,1.0,3,2026-04-02T01:54:43.498058
104343,52817,COLORADO FINANCIAL SERVICE CORPORATION,"COLORADO FINANCIAL SERVICE CORPORATION|TURNING POINT RETIREMENT ASSOCIATES|GIA FINANCIAL GROUP, L.L.C.",Approved,12/07/2000,Small,Corporation,Colorado,06/13/2000,303-962-7267,1,23,1,3,188 INVERNESS DRIVE WEST,CENTENNIAL,CO,80112,US,,,COLORADO FINANCIAL SERVICE CORPORATION,1.0,3,2026-04-02T01:51:54.773916
146838,67854,"COLUMBIA CAPITAL SECURITIES, INC.","CCA SECURITIES, INC.|COLUMBIA CAPITAL SECURITIES, INC.",Approved,08/25/2008,Small,Corporation,California,07/26/2007,310-883-4686,1,3,1,0,2121 AVENUE OF THE STARS,LOS ANGELES,CA,90067,USA,,,"COLUMBIA CAPITAL SECURITIES, INC.",1.0,3,2026-04-02T01:54:58.243574
